[2024-06-01T05:41:27.870+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-01T05:41:27.882+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: soc_domain_analysis.persist_domain_analysis_task scheduled__2023-01-01T01:00:00+00:00 [queued]>
[2024-06-01T05:41:27.885+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: soc_domain_analysis.persist_domain_analysis_task scheduled__2023-01-01T01:00:00+00:00 [queued]>
[2024-06-01T05:41:27.885+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-06-01T05:41:27.889+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): persist_domain_analysis_task> on 2023-01-01 01:00:00+00:00
[2024-06-01T05:41:27.891+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=2807) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-06-01T05:41:27.892+0000] {standard_task_runner.py:63} INFO - Started process 2808 to run task
[2024-06-01T05:41:27.891+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'soc_domain_analysis', 'persist_domain_analysis_task', 'scheduled__2023-01-01T01:00:00+00:00', '--job-id', '3732', '--raw', '--subdir', 'DAGS_FOLDER/asset_analysis.py', '--cfg-path', '/tmp/tmp5n5ql_z6']
[2024-06-01T05:41:27.892+0000] {standard_task_runner.py:91} INFO - Job 3732: Subtask persist_domain_analysis_task
[2024-06-01T05:41:27.898+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-06-01T05:41:27.912+0000] {task_command.py:426} INFO - Running <TaskInstance: soc_domain_analysis.persist_domain_analysis_task scheduled__2023-01-01T01:00:00+00:00 [running]> on host 01982e9630cb
[2024-06-01T05:41:27.940+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='soc_domain_analysis' AIRFLOW_CTX_TASK_ID='persist_domain_analysis_task' AIRFLOW_CTX_EXECUTION_DATE='2023-01-01T01:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2023-01-01T01:00:00+00:00'
[2024-06-01T05:41:27.940+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-01T05:41:27.966+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: goggle.com
[2024-06-01T05:41:27.967+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: gooogle.com
[2024-06-01T05:41:27.967+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: googl3.com
[2024-06-01T05:41:27.968+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: goolge.com
[2024-06-01T05:41:27.968+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: go0gle.com
[2024-06-01T05:41:27.968+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: examp1e.com
[2024-06-01T05:41:27.969+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: exampel.com
[2024-06-01T05:41:27.969+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: exampel.com
[2024-06-01T05:41:27.970+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: exampl3.com
[2024-06-01T05:41:27.970+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: examp1e.com
[2024-06-01T05:41:27.971+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 0penai.com
[2024-06-01T05:41:27.971+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: openal.com
[2024-06-01T05:41:27.971+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: openaii.com
[2024-06-01T05:41:27.972+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: openaii.com
[2024-06-01T05:41:27.972+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: op3nai.com
[2024-06-01T05:41:27.972+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 6d5bc1df50.org
[2024-06-01T05:41:27.973+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 97ce810845.org
[2024-06-01T05:41:27.973+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 803000410e.co
[2024-06-01T05:41:27.973+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 6426fc1f67.us
[2024-06-01T05:41:27.974+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 55c5625e62.us
[2024-06-01T05:41:27.974+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 8e1a86b116.org
[2024-06-01T05:41:27.974+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: f62617572d.org
[2024-06-01T05:41:27.975+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 3db959672b.net
[2024-06-01T05:41:27.975+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 842ad3669c.us
[2024-06-01T05:41:27.975+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: eeefa248c2.com
[2024-06-01T05:41:27.976+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 8397445f80.net
[2024-06-01T05:41:27.976+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: a5917dfb68.org
[2024-06-01T05:41:27.976+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 0c05fe70b6.org
[2024-06-01T05:41:27.976+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: aa38f6b632.net
[2024-06-01T05:41:27.977+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 04bca49947.us
[2024-06-01T05:41:27.977+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 424fe628f5.com
[2024-06-01T05:41:27.977+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: ba379a541f.org
[2024-06-01T05:41:27.978+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 3eb0126a5e.com
[2024-06-01T05:41:27.978+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 22e1721bec.co
[2024-06-01T05:41:27.978+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 29f06ab427.net
[2024-06-01T05:41:27.979+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: f15c9a476a.org
[2024-06-01T05:41:27.979+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 8db885536d.net
[2024-06-01T05:41:27.979+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: c8912b3cb1.org
[2024-06-01T05:41:27.979+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 3d2e256dce.com
[2024-06-01T05:41:27.980+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: c6238fc53f.us
[2024-06-01T05:41:27.980+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: a58c9e5599.net
[2024-06-01T05:41:27.980+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 11c3cc4579.org
[2024-06-01T05:41:27.981+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 1b1979cbb4.org
[2024-06-01T05:41:27.981+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: a293c35099.org
[2024-06-01T05:41:27.981+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: cf433b65a2.us
[2024-06-01T05:41:27.982+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 807204c07e.net
[2024-06-01T05:41:27.982+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 0e70c99e88.us
[2024-06-01T05:41:27.982+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: dfc0910044.us
[2024-06-01T05:41:27.982+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: dd88c10aee.com
[2024-06-01T05:41:27.983+0000] {asset_analysis.py:75} INFO - Persisting domain analysis for: 7bd7aea03f.org
